Serial Port,Voltage (V),Average X,Average Y,Average Z
COM21,0.15019078480423037,-5.63,51.02,-65.27
COM16,0.1256605669620975,-35.07,0.7,-86.19
COM18,0.1256605669620975,-31.24,26.59,-42.49
COM19,0.1256605669620975,3.3,6.5,-13.19
COM20,0.1256605669620975,39.58,-35.31,-32.58
COM21,0.1256605669620975,6.84,38.96,-65.65
COM16,0.1367612716254414,-39.02,31.91,-79.67
COM18,0.1367612716254414,-19.22,16.83,-52.07
COM19,0.1367612716254414,-61.09,55.75,-11.18
COM20,0.1367612716254414,-21.77,9.94,-29.25
COM21,0.1367612716254414,-57.86,53.98,-76.35
COM16,0.14093347270933748,-35.56,27.52,-82.03
COM18,0.14093347270933748,-34.7,16.63,-55.06
COM19,0.14093347270933748,5.17,50.39,-10.25
COM20,0.14093347270933748,36.79,8.51,-28.83
COM21,0.14093347270933748,-5.0,51.11,-63.63
COM16,0.14824570524910055,-35.03,2.64,-89.53
COM18,0.14824570524910055,-30.18,26.91,-40.82
COM19,0.14824570524910055,2.8,6.9,-6.55
COM20,0.14824570524910055,39.54,-35.09,-25.66
COM21,0.14824570524910055,5.55,39.15,-69.83
COM16,0.14570869598173067,-35.02,2.71,-89.45
COM18,0.14570869598173067,-30.34,26.76,-40.77
COM19,0.14570869598173067,3.21,6.95,-6.84
COM20,0.14570869598173067,39.19,-35.21,-26.17
COM21,0.14570869598173067,5.8,38.98,-69.0
COM16,0.11758941799583211,-38.77,4.79,-83.38
COM18,0.11758941799583211,-15.72,26.65,-40.0
COM19,0.11758941799583211,-62.58,11.42,-15.4
COM20,0.11758941799583211,-19.44,-33.79,-34.2
COM21,0.11758941799583211,-47.46,41.97,-77.71
COM16,0.18178026999411576,-35.53,31.41,-87.78
COM18,0.18178026999411576,-33.52,18.25,-50.66
COM19,0.18178026999411576,4.27,51.39,3.65
COM20,0.18178026999411576,36.95,8.95,-16.64
COM21,0.18178026999411576,-6.81,51.13,-69.84
COM16,0.27354743249960156,-37.46,18.41,-105.27
COM18,0.27354743249960156,-10.77,31.16,-27.2
COM19,0.27354743249960156,-64.87,14.45,33.59
COM20,0.27354743249960156,-17.43,-33.12,13.53
COM21,0.27354743249960156,-54.09,42.19,-101.81
COM16,0.14632988667126598,-39.32,32.71,-80.95
COM18,0.14632988667126598,-18.91,17.57,-51.09
COM19,0.14632988667126598,-61.44,55.75,-8.04
COM20,0.14632988667126598,-21.82,9.92,-26.76
COM21,0.14632988667126598,-58.33,53.97,-77.64
COM16,0.02712548628833611,-40.57,22.06,-64.03
COM18,0.02712548628833611,-22.6,14.28,-61.01
COM19,0.02712548628833611,-59.26,53.37,-46.67
COM20,0.02712548628833611,-22.95,8.91,-63.21
COM21,0.02712548628833611,-53.27,53.47,-59.15
COM16,0.07277531519064516,-36.0,-5.06,-78.9
COM18,0.07277531519064516,-32.26,25.42,-46.13
COM19,0.07277531519064516,3.89,5.14,-29.06
COM20,0.07277531519064516,38.52,-35.83,-47.63
COM21,0.07277531519064516,9.08,38.49,-57.53
COM16,0.2464650565929908,-38.05,16.2,-101.54
COM18,0.2464650565929908,-11.74,30.09,-29.2
COM19,0.2464650565929908,-64.52,14.07,25.01
COM20,0.2464650565929908,-17.45,-33.28,5.28
COM21,0.2464650565929908,-52.93,42.19,-98.11
COM16,0.1719081905199975,-38.21,9.54,-91.33
COM18,0.1719081905199975,-13.87,27.78,-35.62
COM19,0.1719081905199975,-63.46,12.23,1.82
COM20,0.1719081905199975,-18.29,-33.6,-17.67
COM21,0.1719081905199975,-49.64,41.98,-86.66
COM16,0.162966009931873,-38.69,34.23,-83.41
COM18,0.162966009931873,-18.7,17.98,-49.15
COM19,0.162966009931873,-61.6,55.93,-3.55
COM20,0.162966009931873,-21.65,10.16,-21.1
COM21,0.162966009931873,-58.94,53.54,-80.53
COM16,0.03813739359042546,-35.95,-7.84,-74.72
COM18,0.03813739359042546,-33.47,24.04,-49.18
COM19,0.03813739359042546,4.49,4.39,-39.99
COM20,0.03813739359042546,38.55,-35.82,-58.78
COM21,0.03813739359042546,10.61,38.66,-52.35
COM16,0.11480078267273552,-35.42,-0.58,-84.56
COM18,0.11480078267273552,-31.18,26.22,-42.61
COM19,0.11480078267273552,3.62,6.08,-17.05
COM20,0.11480078267273552,39.26,-35.3,-36.09
COM21,0.11480078267273552,6.9,38.97,-64.45
COM16,0.15107320057060336,-35.63,27.94,-83.14
COM18,0.15107320057060336,-34.35,16.75,-53.17
COM19,0.15107320057060336,4.96,50.16,-7.55
COM20,0.15107320057060336,36.91,8.64,-25.82
COM21,0.15107320057060336,-5.94,50.95,-66.03
COM16,0.14717727235889425,-35.97,27.92,-82.62
COM18,0.14717727235889425,-34.34,16.9,-53.71
COM19,0.14717727235889425,5.21,50.25,-7.75
COM20,0.14717727235889425,36.8,8.66,-26.88
COM21,0.14717727235889425,-5.51,51.22,-65.0
COM16,0.28001293576067576,-37.21,19.15,-106.65
COM18,0.28001293576067576,-10.53,30.73,-26.38
COM19,0.28001293576067576,-65.13,14.57,35.45
COM20,0.28001293576067576,-17.12,-32.76,15.2
COM21,0.28001293576067576,-54.16,42.0,-103.66
COM16,0.12391803484292603,-39.11,5.23,-83.94
COM18,0.12391803484292603,-15.35,26.54,-39.21
COM19,0.12391803484292603,-62.81,11.3,-13.32
COM20,0.12391803484292603,-18.92,-34.24,-32.4
COM21,0.12391803484292603,-47.5,41.7,-79.83
COM16,0.11838774990860185,-39.08,4.77,-83.47
COM18,0.11838774990860185,-15.49,26.81,-39.73
COM19,0.11838774990860185,-62.55,11.08,-15.31
COM20,0.11838774990860185,-18.81,-33.93,-33.78
COM21,0.11838774990860185,-47.26,41.73,-78.9
COM16,0.19561193693500328,-38.32,37.28,-87.69
COM18,0.19561193693500328,-17.37,18.16,-46.65
COM19,0.19561193693500328,-62.12,57.08,7.07
COM20,0.19561193693500328,-21.22,10.58,-11.41
COM21,0.19561193693500328,-60.81,53.77,-86.15
COM16,0.1766757514752657,-34.93,30.46,-87.07
COM18,0.1766757514752657,-33.41,17.43,-51.32
COM19,0.1766757514752657,4.54,51.06,1.52
COM20,0.1766757514752657,37.16,8.92,-17.87
COM21,0.1766757514752657,-6.75,51.01,-69.63
COM16,0.028067968864781957,-36.53,17.46,-66.05
COM18,0.028067968864781957,-38.23,13.62,-63.55
COM19,0.028067968864781957,6.94,47.95,-44.99
COM20,0.028067968864781957,35.39,7.59,-62.93
COM21,0.028067968864781957,1.23,50.65,-46.13
COM16,0.1955258100107158,-37.89,11.57,-93.71
COM18,0.1955258100107158,-12.91,28.43,-33.09
COM19,0.1955258100107158,-64.09,12.65,9.08
COM20,0.1955258100107158,-17.94,-33.75,-10.18
COM21,0.1955258100107158,-51.01,41.75,-91.19
COM16,0.11668305234096492,-35.46,-0.13,-85.35
COM18,0.11668305234096492,-31.01,26.01,-43.06
COM19,0.11668305234096492,3.71,5.97,-15.89
COM20,0.11668305234096492,39.01,-35.04,-35.72
COM21,0.11668305234096492,7.15,38.94,-65.05
COM16,0.13953882329889425,-35.4,2.48,-88.14
COM18,0.13953882329889425,-30.65,26.73,-41.27
COM19,0.13953882329889425,3.23,6.55,-8.99
COM20,0.13953882329889425,39.36,-35.01,-28.56
COM21,0.13953882329889425,5.84,39.01,-68.83
COM16,0.07315525172866298,-35.97,-4.74,-79.03
COM18,0.07315525172866298,-32.55,25.01,-46.72
COM19,0.07315525172866298,3.99,5.47,-29.4
COM20,0.07315525172866298,38.49,-35.42,-48.05
COM21,0.07315525172866298,8.84,38.93,-57.91
COM16,0.06809184091307967,-36.26,-5.44,-78.33
COM18,0.06809184091307967,-32.71,24.58,-46.57
COM19,0.06809184091307967,3.93,5.28,-31.08
COM20,0.06809184091307967,38.6,-35.56,-50.15
COM21,0.06809184091307967,8.72,38.94,-57.12
COM16,0.29294616470989016,-33.85,15.97,-110.26
COM18,0.29294616470989016,-25.73,30.81,-28.12
COM19,0.29294616470989016,0.36,10.07,39.22
COM20,0.29294616470989016,40.99,-33.87,18.05
COM21,0.29294616470989016,-2.32,39.36,-92.64
COM16,0.20819799249429555,-38.02,12.97,-96.12
COM18,0.20819799249429555,-12.87,28.84,-32.17
COM19,0.20819799249429555,-64.0,13.26,13.34
COM20,0.20819799249429555,-18.11,-33.48,-7.25
COM21,0.20819799249429555,-46.24,37.86,-83.6
COM16,0.17235209062849488,-38.08,9.89,-91.18
COM18,0.17235209062849488,-13.68,27.74,-35.3
COM19,0.17235209062849488,-63.33,12.7,2.28
COM20,0.17235209062849488,-18.53,-33.88,-18.18
COM21,0.17235209062849488,-50.09,42.08,-87.12
COM16,0.017088192915024992,-39.64,-5.22,-69.53
COM18,0.017088192915024992,-18.59,23.58,-48.23
COM19,0.017088192915024992,-60.74,9.44,-46.26
COM20,0.017088192915024992,-19.77,-34.95,-63.91
COM21,0.017088192915024992,-43.19,42.03,-62.92
COM16,0.21970200548386595,-37.87,14.28,-97.56
COM18,0.21970200548386595,-12.22,29.32,-31.64
COM19,0.21970200548386595,-64.37,13.55,17.11
COM20,0.21970200548386595,-17.93,-33.39,-3.18
COM21,0.21970200548386595,-52.47,42.17,-94.36
COM16,0.10813198473599313,-39.42,26.8,-76.31
COM18,0.10813198473599313,-19.94,15.89,-54.18
COM19,0.10813198473599313,-60.58,54.79,-20.36
COM20,0.10813198473599313,-21.88,9.72,-37.74
COM21,0.10813198473599313,-56.95,53.97,-72.05
COM16,0.06331577721816231,-39.57,-0.61,-75.84
COM18,0.06331577721816231,-17.35,25.0,-44.5
COM19,0.06331577721816231,-61.83,10.21,-31.78
COM20,0.06331577721816231,-19.01,-34.68,-49.93
COM21,0.06331577721816231,-45.2,42.14,-69.67
COM16,0.08503950686811876,-35.91,-3.8,-81.03
COM18,0.08503950686811876,-32.38,24.91,-45.56
COM19,0.08503950686811876,4.09,5.42,-25.19
COM20,0.08503950686811876,39.24,-35.66,-44.42
COM21,0.08503950686811876,8.07,39.19,-59.8
COM16,0.0872934939443737,-39.51,27.36,-72.67
COM18,0.0872934939443737,-20.95,15.55,-55.82
COM19,0.0872934939443737,-60.14,54.24,-26.2
COM20,0.0872934939443737,-22.22,9.5,-43.92
COM21,0.0872934939443737,-55.97,53.74,-69.35
COM16,0.17414977517984018,-39.15,35.27,-84.9
COM18,0.17414977517984018,-18.52,17.76,-48.53
COM19,0.17414977517984018,-61.62,56.07,1.33
COM20,0.17414977517984018,-21.14,9.79,-17.94
COM21,0.17414977517984018,-61.54,53.86,-83.03
COM16,0.23183696939353263,-34.43,10.56,-101.65
COM18,0.23183696939353263,-27.88,29.01,-33.14
COM19,0.23183696939353263,2.09,8.29,20.72
COM20,0.23183696939353263,40.44,-35.02,-0.05
COM21,0.23183696939353263,1.81,38.95,-82.74
COM16,0.2583510682090645,-34.42,13.14,-105.41
COM18,0.2583510682090645,-26.97,29.7,-31.35
COM19,0.2583510682090645,1.19,8.7,28.9
COM20,0.2583510682090645,41.1,-34.85,7.98
COM21,0.2583510682090645,0.77,39.15,-87.44
COM16,0.06912211734820752,-39.13,0.36,-77.03
COM18,0.06912211734820752,-17.42,25.07,-44.26
COM19,0.06912211734820752,-61.33,10.05,-30.13
COM20,0.06912211734820752,-18.87,-34.55,-48.75
COM21,0.06912211734820752,-45.17,41.64,-70.83
COM16,0.06689824798582346,-36.15,20.82,-71.84
COM18,0.06689824798582346,-37.69,14.46,-61.01
COM19,0.06689824798582346,6.38,48.43,-33.12
COM20,0.06689824798582346,36.24,7.66,-50.89
COM21,0.06689824798582346,-1.7,50.48,-51.87
COM16,0.23968977691686288,-37.91,15.76,-100.66
COM18,0.23968977691686288,-11.99,29.4,-29.84
COM19,0.23968977691686288,-64.37,13.72,22.39
COM20,0.23968977691686288,-17.41,-33.3,3.58
COM21,0.23968977691686288,-52.54,41.78,-97.62
COM16,0.09878216741547384,-39.09,3.54,-81.1
COM18,0.09878216741547384,-16.34,25.69,-41.74
COM19,0.09878216741547384,-62.12,10.78,-21.57
COM20,0.09878216741547384,-18.65,-34.42,-39.29
COM21,0.09878216741547384,-46.69,41.68,-76.0
COM16,0.22344992139507128,-34.6,9.72,-100.72
COM18,0.22344992139507128,-28.01,28.89,-34.59
COM19,0.22344992139507128,2.07,8.11,17.7
COM20,0.22344992139507128,40.46,-34.76,-2.44
COM21,0.22344992139507128,2.36,39.35,-82.2
COM16,0.19445184659439077,-34.85,7.59,-96.86
COM18,0.19445184659439077,-28.85,27.96,-36.89
COM19,0.19445184659439077,2.66,7.78,8.87
COM20,0.19445184659439077,40.56,-35.29,-11.85
COM21,0.19445184659439077,3.65,39.06,-77.12
COM16,0.006503734034291253,-40.29,20.48,-62.14
COM18,0.006503734034291253,-23.51,13.46,-63.32
COM19,0.006503734034291253,-58.63,52.95,-52.11
COM20,0.006503734034291253,-22.51,8.68,-68.46
COM21,0.006503734034291253,-52.12,53.68,-56.36
COM16,0.06774903358556089,-39.81,26.08,-70.57
COM18,0.06774903358556089,-21.47,15.03,-57.66
COM19,0.06774903358556089,-59.51,54.3,-32.85
COM20,0.06774903358556089,-22.3,9.01,-49.5
COM21,0.06774903358556089,-54.59,53.61,-66.56
COM16,0.21488983650074603,-38.38,16.23,-97.31
COM18,0.21488983650074603,-12.78,29.23,-31.91
COM19,0.21488983650074603,-63.76,13.18,14.97
COM20,0.21488983650074603,-17.57,-33.59,-5.23
COM21,0.21488983650074603,-51.6,41.91,-94.1
COM16,0.045390142305384774,-39.66,-2.61,-73.61
COM18,0.045390142305384774,-17.91,24.59,-46.03
COM19,0.045390142305384774,-61.33,9.54,-37.66
COM20,0.045390142305384774,-19.74,-34.77,-55.73
COM21,0.045390142305384774,-44.02,41.69,-67.73
COM16,0.17577293458463722,-32.1,27.33,-78.42
COM18,0.17577293458463722,-33.65,17.25,-51.53
COM19,0.17577293458463722,5.06,51.03,1.42
COM20,0.17577293458463722,37.16,8.67,-18.32
COM21,0.17577293458463722,-6.49,50.89,-70.02
COM16,0.11492186573455511,-38.85,4.91,-83.1
COM18,0.11492186573455511,-15.87,26.25,-40.45
COM19,0.11492186573455511,-61.94,10.89,-16.63
COM20,0.11492186573455511,-18.84,-34.18,-35.07
COM21,0.11492186573455511,-47.06,41.82,-78.42
COM16,0.08416177184421167,-39.8,27.19,-72.35
COM18,0.08416177184421167,-21.22,15.68,-56.55
COM19,0.08416177184421167,-60.2,54.28,-27.48
COM20,0.08416177184421167,-22.07,9.26,-44.95
COM21,0.08416177184421167,-55.08,53.63,-69.39
COM16,0.2743811161125347,-34.65,39.43,-101.7
COM18,0.2743811161125347,-30.72,20.18,-43.87
COM19,0.2743811161125347,2.95,52.9,32.22
COM20,0.2743811161125347,38.17,9.11,11.97
COM21,0.2743811161125347,-10.67,50.95,-85.22
COM16,0.19998192294089437,-38.03,12.44,-95.31
COM18,0.19998192294089437,-13.19,28.61,-33.27
COM19,0.19998192294089437,-63.79,12.48,11.08
COM20,0.19998192294089437,-17.69,-33.9,-9.89
COM21,0.19998192294089437,-50.83,41.95,-91.75
COM16,0.08048407897543725,-36.3,22.6,-74.44
COM18,0.08048407897543725,-36.97,14.79,-59.37
COM19,0.08048407897543725,5.86,49.11,-28.36
COM20,0.08048407897543725,36.28,7.6,-47.74
COM21,0.08048407897543725,-2.1,50.96,-55.01
COM16,0.16403330726833298,-38.56,9.06,-90.31
COM18,0.16403330726833298,-14.45,28.12,-36.43
COM19,0.16403330726833298,-63.14,12.34,-0.52
COM20,0.16403330726833298,-18.4,-33.77,-20.54
COM21,0.16403330726833298,-49.69,41.91,-86.41
COM16,0.22261005278253726,-38.48,39.43,-92.34
COM18,0.22261005278253726,-16.7,19.35,-44.85
COM19,0.22261005278253726,-62.71,57.22,16.72
COM20,0.22261005278253726,-20.61,10.19,-3.4
COM21,0.22261005278253726,-61.89,53.98,-90.6
COM16,0.21914717774173476,-35.07,34.7,-93.27
COM18,0.21914717774173476,-32.13,18.96,-48.04
COM19,0.21914717774173476,3.66,51.93,15.09
COM20,0.21914717774173476,37.67,8.67,-5.76
COM21,0.21914717774173476,-8.28,51.17,-76.72
COM16,0.06060685687958804,-36.53,21.03,-71.39
COM18,0.06060685687958804,-37.11,14.56,-61.09
COM19,0.06060685687958804,6.49,48.39,-35.13
COM20,0.06060685687958804,36.01,7.73,-53.31
COM21,0.06060685687958804,-0.15,51.4,-51.86
COM16,0.12372597240769566,-36.05,26.13,-80.27
COM18,0.12372597240769566,-35.35,16.12,-55.83
COM19,0.12372597240769566,5.66,49.62,-13.92
COM20,0.12372597240769566,36.77,7.89,-34.61
COM21,0.12372597240769566,-4.51,51.55,-61.85
COM16,0.005782886908168283,-36.63,-10.52,-69.97
COM18,0.005782886908168283,-34.3,23.24,-52.38
COM19,0.005782886908168283,5.59,3.74,-49.33
COM20,0.005782886908168283,38.58,-36.29,-69.09
COM21,0.005782886908168283,11.99,39.11,-47.69
COM16,0.24363363639987132,-38.51,41.13,-94.73
COM18,0.24363363639987132,-16.03,19.78,-43.06
COM19,0.24363363639987132,-62.75,57.91,23.42
COM20,0.24363363639987132,-20.49,10.39,2.99
COM21,0.24363363639987132,-62.74,54.2,-93.79
COM16,0.24366463239062885,-38.66,41.5,-94.8
COM18,0.24366463239062885,-16.12,19.9,-43.13
COM19,0.24366463239062885,-62.49,58.07,23.48
COM20,0.24366463239062885,-20.5,10.27,3.64
COM21,0.24366463239062885,-62.79,53.91,-93.63
COM16,0.2480224713945669,-34.51,11.68,-103.55
COM18,0.2480224713945669,-27.04,29.29,-32.5
COM19,0.2480224713945669,1.52,8.71,25.78
